student_name,subject,score,timeSpent
Fiona Johnson,IT,78.34,66
Ethan Johnson,Biology,41.64,92
Alice Smith,History,68.14,111
Bob Miller,History,16.08,119
Ethan Jones,Math,9.9,103
Alice Wilson,Biology,10.65,30
Julia Garcia,Math,94.23,44
Ian Davis,Chemistry,5.12,105
Fiona Wilson,Biology,36.17,83
Hannah Williams,Biology,56.58,33
Hannah Jones,Math,11.53,102
Charlie Miller,History,95.36,37
Ian Smith,Chemistry,48.19,34
Bob Jones,Math,0.33,113
Ethan Jones,Biology,24.68,119
Julia Smith,Chemistry,57.73,80
Ian Jones,IT,72.32,67
Alice Smith,Statistics,70.84,57
George Martinez,Chemistry,65.75,32
Fiona Smith,Chemistry,29.75,113
Julia Davis,History,52.16,20
Fiona Davis,History,45.35,14
George Johnson,History,72.97,76
Fiona Wilson,History,57.49,97
Bob Brown,Math,60.76,50
Ethan Williams,Math,97.83,86
Ian Jones,History,35.0,25
Ian Williams,Statistics,64.5,120
George Garcia,IT,1.1,92
Bob Williams,IT,31.39,36
Julia Garcia,Biology,40.4,54
Ian Martinez,Statistics,23.32,59
Hannah Smith,Chemistry,90.37,42
Julia Miller,Math,16.92,21
Alice Brown,IT,9.83,84
Hannah Jones,IT,25.46,57
Ian Brown,Statistics,64.41,55
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Julia Miller,Chemistry,27.37,19
Ethan Williams,Biology,33.98,100
Charlie Williams,IT,60.33,69
Hannah Brown,Statistics,86.98,113
Diana Johnson,Statistics,38.98,81
George Miller,History,6.83,64
Charlie Miller,IT,86.84,77
Charlie Williams,Biology,7.05,14
Bob Martinez,Math,32.95,120
Bob Williams,Chemistry,5.76,44
Julia Williams,IT,4.73,72
Ian Jones,Biology,82.98,34
Ethan Wilson,Biology,1.23,75
Diana Davis,Statistics,10.06,23
Julia Wilson,Statistics,71.55,28
Ian Smith,Biology,63.57,118
Charlie Jones,Statistics,92.92,22
Ian Garcia,Statistics,16.95,81
George Martinez,Math,94.09,82
Hannah Smith,Math,81.72,13
Ian Brown,IT,15.02,82
Ethan Brown,Statistics,16.96,29
Charlie Davis,Chemistry,50.61,29
Julia Brown,Biology,69.12,85
Charlie Johnson,Math,90.98,13
Charlie Smith,Statistics,98.81,85
Charlie Williams,IT,6.52,84
Bob Johnson,Math,16.08,66
Alice Johnson,Chemistry,51.46,81
Diana Smith,Chemistry,29.6,99
Alice Miller,Chemistry,84.81,14
Diana Miller,History,85.24,111
Julia Martinez,Biology,10.74,82
George Martinez,IT,58.26,116
Ian Johnson,Biology,14.58,90
Bob Smith,Chemistry,84.36,24
George Martinez,History,13.11,112
Julia Martinez,IT,9.95,60
George Johnson,Math,18.94,52
Alice Garcia,Biology,61.4,13
Alice Johnson,Biology,88.05,96
Fiona Brown,Math,26.49,75
Diana Martinez,Math,27.46,72
Charlie Johnson,Chemistry,39.28,67
Julia Brown,Chemistry,37.96,76
Fiona Miller,Math,97.72,110
Hannah Martinez,Statistics,5.68,105
Alice Brown,Biology,9.6,56
Fiona Williams,Chemistry,94.49,59
Julia Williams,IT,77.57,72
Ian Johnson,Math,97.04,16
Diana Garcia,Chemistry,71.12,41
George Davis,History,68.38,14
George Smith,History,21.44,92
Diana Brown,History,21.17,50
Julia Smith,Chemistry,2.1,12
Fiona Martinez,IT,86.36,21
George Garcia,History,65.84,82
Charlie Miller,Biology,67.1,75
Charlie Brown,Statistics,30.23,40
Alice Smith,Chemistry,75.99,68
Diana Johnson,Statistics,26.76,77
Julia Wilson,Statistics,36.63,18
Ian Garcia,Chemistry,11.67,52
Ian Jones,Biology,7.66,58
Ethan Martinez,Chemistry,81.74,12
Fiona Brown,History,91.41,117
Julia Brown,Statistics,97.41,31
Hannah Brown,Math,90.35,56
Julia Miller,IT,5.89,79
Hannah Miller,IT,24.93,103
Charlie Williams,IT,26.84,19
Hannah Brown,History,63.41,86
Bob Brown,Math,37.28,97
Hannah Garcia,Math,45.94,115
Ethan Brown,IT,44.52,10
Alice Johnson,IT,14.89,20
Hannah Garcia,Chemistry,31.68,96
Charlie Williams,Statistics,25.37,39
Ethan Garcia,History,88.38,31
Diana Brown,History,63.76,41
Diana Miller,Statistics,53.14,84
George Martinez,Biology,84.08,120
George Jones,Biology,77.41,69
George Martinez,Math,43.83,111
Julia Johnson,Statistics,25.17,87
Julia Wilson,Chemistry,35.45,73
Julia Johnson,Statistics,19.65,22
Bob Davis,History,5.02,74
Charlie Williams,Chemistry,39.06,84
Charlie Davis,Chemistry,35.27,47
Ethan Wilson,Math,47.03,19
Hannah Garcia,Statistics,59.14,85
Diana Johnson,History,27.62,106
George Johnson,Biology,78.71,73
Fiona Wilson,Chemistry,80.69,41
George Johnson,IT,84.41,31
Diana Brown,Math,69.54,105
Ethan Miller,History,82.71,85
Hannah Johnson,History,85.99,47
Charlie Williams,Math,7.17,18
Ethan Martinez,Statistics,27.68,12
Julia Davis,IT,35.96,38
George Johnson,Statistics,75.77,26
Bob Johnson,IT,25.15,100
Julia Smith,Statistics,26.33,88
Julia Jones,Biology,47.53,41
Charlie Jones,History,30.1,100
Diana Johnson,Statistics,85.82,60
Julia Wilson,IT,99.72,52
Diana Brown,Biology,64.82,82
Charlie Jones,Math,78.41,50
Julia Smith,IT,32.73,17
Alice Wilson,History,30.28,88
Hannah Jones,Statistics,84.68,35
Bob Davis,IT,15.36,119
Fiona Garcia,IT,18.6,100
Alice Davis,Biology,24.06,65
Fiona Smith,IT,45.57,115
Bob Johnson,IT,9.31,66
Ethan Wilson,Biology,60.75,102
George Williams,History,34.51,46
George Williams,Statistics,22.48,70
Diana Smith,Math,28.06,20
Ian Wilson,History,64.38,96
Charlie Martinez,IT,58.93,98
Ian Wilson,Biology,81.92,68
Fiona Martinez,Math,16.19,54
Fiona Brown,Biology,74.86,67
Diana Garcia,Chemistry,38.99,38
George Davis,History,25.58,41
Bob Williams,Math,55.88,37
Fiona Garcia,Math,98.11,51
Fiona Williams,Math,24.76,44
Bob Williams,Statistics,99.91,64
Hannah Brown,Biology,40.01,111
Ian Brown,Math,97.93,68
Ian Miller,Biology,12.61,100
Charlie Brown,History,92.52,35
Fiona Jones,Biology,2.99,86
